EstablishmentID,InspectionID,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,Latitude,Longitude,InspectionDate,Score,Grade,NameSearch,Intersection
73002,1386666,JU-LI CREATIONS,,8621 HI VIEW LN,,LOUISVILLE,KY,40272,CATERERS,38.1212,0,6/8/18 0:00,100,A,JU-LI CREATIONS,
102648,1387088,DINING WITH GABOR AND MORE,,1812 W MUHAMMAD ALI BLVD,,LOUISVILLE,KY,40203,CATERERS,38.2535,-85.7816,6/12/18 0:00,99,A,DINING WITH GABOR AND MORE,
93324,1383273,GITA'S CATERING AT HOLIDAY INN,,6551 PARAMOUNT PARK DR,,LOUISVILLE,KY,40213,CATERERS,38.1541,-85.7122,5/30/18 0:00,96,A,GITA'S CATERING AT HOLIDAY INN,
70057,1378470,SINCERELY YOURS CATERING,,1515 CYPRESS ST,,LOUISVILLE,KY,40211,CATERERS,38.23,0,5/10/18 0:00,99,A,SINCERELY YOURS CATERING,
86636,1378944,GRACIOUS PLENTY CATERING,,2900 BROWNSBORO RD,,LOUISVILLE,KY,40206,CATERERS,38.26,-85.6881,5/14/18 0:00,100,A,GRACIOUS PLENTY CATERING,
99589,1379879,FESTIVAL CUISINE and SPIRITS,,473 ROBERTS AVE,,LOUISVILLE,KY,40214,CATERERS,38.1534,-85.7589,5/16/18 0:00,98,A,FESTIVAL CUISINE and SPIRITS,
103808,1387394,DOUGLASS BLVD CHRISTIAN CHURCH,,2005 DOUGLASS BLVD,,LOUISVILLE,KY,40205,CATERERS,38.2255,-85.6939,6/13/18 0:00,100,A,DOUGLASS BLVD CHRISTIAN CHURCH,
100132,1381785,NEW LEGACY,,1115 GARVIN PL,,LOUISVILLE,KY,40203,CATERERS,38.2368,-85.7614,5/22/18 0:00,97,A,NEW LEGACY,
75555,1388296,MIRABELLE GOURMET CATERING,,1309 CHRISTY AVE,,LOUISVILLE,KY,40204,CATERERS,38.24,-85.7304,6/15/18 0:00,94,A,MIRABELLE GOURMET CATERING,
81295,1388318,BEHA CATERING,,4714 PINEWOOD RD,,LOUISVILLE,KY,40218,CATERERS,38.1854,-85.6915,6/15/18 0:00,97,A,BEHA CATERING,
105038,1384217,SONAL'S KITCHEN,,4746 BARDSTOWN RD,,LOUISVILLE,KY,40218,CATERERS,38.1794,-85.6238,5/31/18 0:00,91,A,SONAL'S KITCHEN,
104407,1387395,DEE'S CATERING LLC,,2005 DOUGLASS BLVD,,LOUISVILLE,KY,40205,CATERERS,38.225,-85.6939,6/13/18 0:00,100,A,DEE'S CATERING LLC,
77581,1389839,MAGNOLIA FOODS CATERING,,621 W MAGNOLIA ST,,LOUISVILLE,KY,40208,CATERERS,38.2298,-85.7656,6/20/18 0:00,96,A,MAGNOLIA FOODS CATERING,
102328,1404194,TRUE NORTH CATERING,,1841 PLANTSIDE DR,,LOUISVILLE,KY,40299,CATERERS,38.217,-85.571,8/13/18 0:00,100,A,TRUE NORTH CATERING,
99376,1408460,THAT PLACE CATERING,,2060 S PRESTON ST,,LOUISVILLE,KY,40217,CATERERS,38.218,-85.7467,8/27/18 0:00,100,A,THAT PLACE CATERING,
100077,1410471,U OF L CATERING SERVICES,,2100 S FLOYD ST,,LOUISVILLE,KY,40208,CATERERS,38.2178,-85.7556,9/5/18 0:00,99,A,U OF L CATERING SERVICES,
98707,1412549,LUCRETIA'S KITCHEN,,1812 W MUHAMMAD ALI BLVD,,LOUISVILLE,KY,40203,CATERERS,38.2532,-85.7817,9/12/18 0:00,98,A,LUCRETIA'S KITCHEN,
89793,1402981,CHILDREN'S PANTRY,,7602 3RD STREET RD,,LOUISVILLE,KY,40214,CATERERS,38.1402,-85.7829,8/7/18 0:00,98,A,CHILDREN'S PANTRY,
